,Text
0,"   위안부 동원사건 피해자 할머니들도 그렇지만 세월호 참사 가족 분들 역시 그냥 '피해자'로 보면 큰일 납니다. 사기 당한 사람이 법조인 법학자를 능가하는 사기범죄 전문가가 되는 것처럼, 할머니들과 가족들은... fb.me/URUwt6xP  "
1,"   靑 “朴대통령, 위안부 피해자 만남 정해진 바 없다”세월호 유가족 만나려고 등떠밀려 나갔다가 유가족에게 쌍욕을 먹었다.쟁점이 있을때 마다 대통령이 나가서 만나야 하나.그러면 5천만 국민 다 만나야 겠다 pic.twitter.com/QzPwgD4Wor  "
2,   Pieces - Single by Ciss #세월호 #pieces itun.es/ca/jx4Z_  
3,   희윤 #바보가꿈꾸는세상 #세월호 (@hee1025w) posted a photo on Twitter fb.me/4maYfQY5n  
4,"   10 억엔, 100 억원. 일본이 내놓는 그 알량한 돈 마저 직접 할머니들에게 가는 것도 아니고 '재단'을 만들어 운용한다고 한다. 이 '일자리'를 두고 이전투구가 벌어지겠고 보수언론이 돈,혜택,지원을 떠들면 세월호 가족들처럼 될 수도 있다.큰일이다.  "
5,   엄마부대 주옥순 대표님께 삿대질 하는 정의화 국회의장 사진입니다 세월호 단체나 단원고 유족한테는 이렇게 했을까요? 누가 저대신 계란이나 좀 던져주세요~ pic.twitter.com/yfWsn4xyum  
6,"   소재주의에 함몰되어 있는 게 가장 큰 문제 중 하나. 용산 참사 다뤘다, 세월호 다뤘다 하면 바로 가서 응원해야 되는 작품이 되고. 영화 분석도 다루고 있는 사회 현상이 위주가 되지, 해당 작품이 어떤 기법을 썼는지에 대한 관심이 없다.  "
7,"  세월호 유족의 고통을 '돈'으로 환산하려는 자들이 위안부 할머니의 고통도 '돈'으로 환산하려 합니다. 썩어빠진 인간들, 있는 그대로 말세의 징좁니다.  "
8,"   이용수 할머니 ""우리는 조선의 딸인데. 우리 아픔 왜 몰라주나. 외교부는 일본외교부인가? 피해자 사전에 만나지 않고 협상하는 법이 어디있나""  할머님 말씀 토씨 하나 틀린데가 없네요. 세월호 때도 그렇고 피해자 뒷전으로 놓고 밀실 합의하는 나쁜버릇!  "
9,   8억이나 받았는데 세월호 얘기 그만 하지? 100억 받는데 위안부 얘기 그만하자  는 어른들로 가득찬 나라에서 고교생들이 10억만 주면 죄 짓고 교도소 가도 좋다고 답하는게 뭐가 이상한가요?  
